"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.07,14:02:54,39.4877,33.4978,10.5,-.-,1.5,-.-,KARAYAKUP-CELEBI(KIRIKKALE)"
"2023.12.07,14:02:46,36.1975,33.6868,0.0,-.-,1.3,-.-,YESILOVACIK-SILIFKE(MERSIN)"
"2023.12.07,13:53:59,38.2233,36.7237,9.7,-.-,1.9,-.-,BUYUKKIZILCIK-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,13:46:14,37.1617,36.9817,5.1,-.-,2.3,-.-,IKIZKUYU-NURDAGI(GAZIANTEP)"
"2023.12.07,13:37:41,40.4143,28.8410,10.6,-.-,2.5,-.-,KUMYAKA-MUDANYA(BURSA)"
"2023.12.07,13:05:51,35.2503,23.1178,17.5,-.-,3.2,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.07,13:03:35,40.4265,28.8370,10.5,-.-,1.4,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,12:58:16,35.3062,33.5970,0.0,-.-,1.8,-.-,KIBRIS-BESPARMAK,Ýlksel"
"2023.12.07,12:53:33,39.2822,29.2267,0.0,-.-,1.6,-.-,IGDEKOY-EMET(KUTAHYA)"
"2023.12.07,12:50:53,39.2615,29.2432,0.0,-.-,1.5,-.-,HISARCIK(KUTAHYA)"
"2023.12.07,12:49:01,39.2602,29.2450,0.0,-.-,1.6,-.-,HISARCIK(KUTAHYA)"
"2023.12.07,12:42:33,38.3982,38.0290,8.7,-.-,1.8,-.-,GUZYURDU-AKCADAG(MALATYA)"
"2023.12.07,12:33:14,36.1152,33.5288,0.0,-.-,1.4,-.-,YANISLI-GULNAR(MERSIN)"
"2023.12.07,12:21:47,38.1777,38.4512,5.0,-.-,1.8,-.-,AKSU-SINCIK(ADIYAMAN)"
"2023.12.07,12:17:19,38.4372,35.2032,1.4,-.-,2.1,-.-,SEYHSABAN-INCESU(KAYSERI)"
"2023.12.07,12:16:05,39.8538,26.2632,5.0,-.-,1.3,-.-,BOZALAN-EZINE(CANAKKALE)"
"2023.12.07,12:04:50,38.1825,37.6228,29.7,-.-,1.4,-.-,HASANALILI-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,12:03:26,40.4360,29.4877,5.0,-.-,1.2,-.-,IZNIK,GOLU,Ýlksel"
"2023.12.07,11:51:46,39.0120,30.1923,16.3,-.-,1.7,-.-,BESKARIS-ALTINTAS(KUTAHYA)"
"2023.12.07,11:33:19,36.3968,34.2567,15.7,-.-,1.3,-.-,AYAS-ERDEMLI(MERSIN)"
"2023.12.07,11:15:06,38.5275,37.1300,6.6,-.-,1.6,-.-,KOSKKOY-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,10:45:28,38.0967,36.5102,3.3,-.-,2.8,-.-,ALICLIBUCAK-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,10:14:44,37.4577,37.0402,13.8,-.-,1.4,-.-,YENIYURT-(KAHRAMANMARAS)"
"2023.12.07,09:36:17,37.2330,37.0372,6.3,-.-,2.2,-.-,KARAHUYUK-PAZARCIK(KAHRAMANMARAS)"
"2023.12.07,09:28:58,37.9202,36.3012,8.6,-.-,2.2,-.-,HACIKODAL-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,08:49:32,38.3802,37.6280,6.0,-.-,1.5,-.-,YUKARIULUPINAR-DARENDE(MALATYA)"
"2023.12.07,08:44:30,38.1295,38.5420,5.5,-.-,1.5,-.-,GECITLI-SINCIK(ADIYAMAN)"
"2023.12.07,08:35:35,38.3500,37.2823,2.1,-.-,2.5,-.-,BUYUKYAPALAK-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,08:26:11,37.9870,36.2672,13.9,-.-,1.4,-.-,KAZANDERE-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,08:04:33,37.4230,36.9690,7.9,-.-,1.9,-.-,NEVRUZLU-(KAHRAMANMARAS)"
"2023.12.07,07:55:31,36.9097,27.8657,1.1,-.-,1.8,-.-,GOKOVA,KORFEZI(AKDENIZ)"
