"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.20,14:20:20,38.2737,38.1888,9.3,-.-,1.7,-.-,SEYITUSAGI-YESILYURT(MALATYA)"
"2023.12.20,14:10:37,38.2717,38.7967,22.9,-.-,1.8,-.-,KARSIYAKA-PUTURGE(MALATYA)"
"2023.12.20,13:55:38,39.2745,29.4470,29.2,-.-,1.5,-.-,OMERFAKI-EMET(KUTAHYA)"
"2023.12.20,13:28:20,37.9885,36.6298,11.7,-.-,1.9,-.-,ELMALI-GOKSUN(KAHRAMANMARAS)"
"2023.12.20,13:25:49,38.2193,37.2928,17.2,-.-,2.1,-.-,SOGUTLU-ELBISTAN(KAHRAMANMARAS)"
"2023.12.20,12:46:30,39.6692,29.4632,0.0,-.-,1.5,-.-,MUHACIRLER-DOMANIC(KUTAHYA)"
"2023.12.20,12:41:32,37.8992,32.3695,0.0,-.-,1.1,-.-,KUCUKMUHSINE-SELCUKLU(KONYA)"
"2023.12.20,11:56:40,39.1008,37.3022,5.0,-.-,1.9,-.-,HAMAL-KANGAL(SIVAS)"
"2023.12.20,11:45:49,38.9403,25.9650,7.8,-.-,2.3,-.-,MIDILLI,ADASI,GUNEYI(EGE,DENIZI)"
"2023.12.20,11:23:53,38.0402,30.8978,12.3,-.-,1.3,-.-,HACILAR-GELENDOST(ISPARTA)"
"2023.12.20,10:47:23,38.7132,27.7143,7.5,-.-,2.1,-.-,ALIBEYLI-SARUHANLI(MANISA)"
"2023.12.20,09:48:52,38.3207,37.4402,27.9,-.-,1.9,-.-,AKSAKAL-ELBISTAN(KAHRAMANMARAS)"
"2023.12.20,09:32:23,36.1812,36.0337,5.0,-.-,2.1,-.-,CUBUKCU-SAMANDAG(HATAY)"
"2023.12.20,09:12:57,39.8125,40.9000,7.7,-.-,2.9,-.-,BAGIRSAK-ASKALE(ERZURUM)"
"2023.12.20,07:24:35,39.6640,27.9333,5.0,-.-,1.6,-.-,KOSELER-(BALIKESIR)"
"2023.12.20,07:21:26,39.6507,27.8530,6.3,-.-,3.7,3.5,BALIKESIR,Ýlksel"
"2023.12.20,06:41:29,40.4810,27.5512,6.0,-.-,1.5,-.-,HARMANLI-ERDEK(BALIKESIR)"
"2023.12.20,06:39:10,39.3292,28.3972,8.0,-.-,2.1,-.-,YUKARICAMLI-BIGADIC(BALIKESIR)"
"2023.12.20,06:29:12,38.1143,36.7768,3.7,-.-,1.8,-.-,KORKMAZ-GOKSUN(KAHRAMANMARAS)"
"2023.12.20,05:42:37,38.8990,32.7773,16.9,-.-,1.1,-.-,YENICEOBA-CIHANBEYLI(KONYA)"
"2023.12.20,04:54:00,37.9245,27.5580,5.0,-.-,1.4,-.-,ABDURRAHMANLAR-GERMENCIK(AYDIN)"
"2023.12.20,04:46:32,40.2297,27.8053,6.5,-.-,1.1,-.-,KILLIK-GONEN(BALIKESIR)"
"2023.12.20,04:42:37,37.7742,36.2108,5.0,-.-,2.4,-.-,HALILBEYLI-SAIMBEYLI(ADANA)"
"2023.12.20,03:48:59,38.4668,37.4265,12.3,-.-,1.4,-.-,YAVUZLAR-DARENDE(MALATYA)"
"2023.12.20,03:46:59,36.5610,36.4020,2.1,-.-,1.9,-.-,KARAMAGARA-KIRIKHAN(HATAY)"
"2023.12.20,03:39:51,38.3550,37.4450,5.2,-.-,1.3,-.-,YALINTAS-ELBISTAN(KAHRAMANMARAS)"
"2023.12.20,03:35:07,38.3713,37.4415,2.0,-.-,1.8,-.-,YALINTAS-ELBISTAN(KAHRAMANMARAS)"
"2023.12.20,02:50:29,37.3178,26.9777,3.9,-.-,2.5,-.-,EGE,DENIZI,Ýlksel"
"2023.12.20,02:35:32,38.2973,38.1553,5.8,-.-,1.5,-.-,DURULDU-(MALATYA)"
"2023.12.20,02:29:06,37.4580,37.1890,5.3,-.-,1.9,-.-,BOLUKCAM-PAZARCIK(KAHRAMANMARAS)"
"2023.12.20,02:14:09,38.0068,36.3072,5.0,-.-,1.8,-.-,KAZANDERE-GOKSUN(KAHRAMANMARAS)"
"2023.12.20,01:28:53,37.2113,36.9585,5.0,-.-,1.7,-.-,SATIRHUYUK-NURDAGI(GAZIANTEP)"
"2023.12.20,01:24:22,36.2662,36.2973,5.0,-.-,1.4,-.-,MELEKLI-(HATAY)"
"2023.12.20,01:15:33,39.3087,28.3532,3.1,-.-,1.7,-.-,HISARALAN-SINDIRGI(BALIKESIR)"
"2023.12.20,01:15:03,37.0072,36.3142,5.0,-.-,1.6,-.-,KARACALAR-(OSMANIYE)"
"2023.12.20,00:25:46,38.3038,38.2698,6.8,-.-,1.8,-.-,BOSTANBASI-YESILYURT(MALATYA)"
"2023.12.19,23:58:48,37.1655,29.2900,7.4,-.-,1.7,-.-,HACIKURTLAR-ACIPAYAM(DENIZLI)"
"2023.12.19,23:22:51,37.8532,36.3480,5.0,-.-,3.4,3.5,KUCUKCAMURLU-GOKSUN(KAHRAMANMARAS)"
"2023.12.19,21:31:40,38.0887,36.4502,5.0,-.-,2.2,-.-,MEHMETBEY-GOKSUN(KAHRAMANMARAS)"
"2023.12.19,20:49:01,37.1635,36.0717,8.2,-.-,1.6,-.-,BURHANLI-CEYHAN(ADANA)"
"2023.12.19,20:33:36,36.1110,36.0095,7.5,-.-,2.2,-.-,KOYUNOGLU-SAMANDAG(HATAY)"
"2023.12.19,19:39:47,38.1420,36.6073,3.3,-.-,1.8,-.-,YENIYAPAN-GOKSUN(KAHRAMANMARAS)"
"2023.12.19,19:31:18,37.1027,28.4143,6.3,-.-,1.4,-.-,ULA(MUGLA)"
"2023.12.19,18:53:53,36.7257,31.9027,13.2,-.-,2.3,-.-,GUZELBAG-ALANYA(ANTALYA)"
"2023.12.19,18:24:32,39.9163,39.3467,7.6,-.-,2.5,-.-,AYDOGDU-KELKIT(GUMUSHANE)"
"2023.12.19,18:11:37,38.2995,39.1802,7.3,-.-,2.0,-.-,UYURUK-SIVRICE(ELAZIG)"
"2023.12.19,16:43:41,38.2848,38.1817,12.9,-.-,2.1,-.-,IKIZCE-YESILYURT(MALATYA)"
"2023.12.19,16:22:53,37.4398,36.9833,5.0,-.-,1.4,-.-,KOCALAR-(KAHRAMANMARAS)"
"2023.12.19,16:09:20,40.4238,28.8972,5.4,-.-,1.8,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.19,15:54:58,39.1550,33.1018,12.9,-.-,1.2,-.-,YESILTEPE-KULU(KONYA)"
"2023.12.19,15:22:58,38.2092,38.1967,5.0,-.-,2.1,-.-,ATALAR-YESILYURT(MALATYA)"
"2023.12.19,15:02:44,36.4787,34.3067,6.6,-.-,1.5,-.-,ERDEMLI,ACIKLARI-MERSIN(AKDENIZ)"
"2023.12.19,14:49:44,36.9822,36.8887,14.7,-.-,1.7,-.-,YENICELI-ISLAHIYE(GAZIANTEP)"
"2023.12.19,14:33:34,40.0115,27.0137,11.6,-.-,1.2,-.-,CEKICLER-CAN(CANAKKALE)"
"2023.12.19,14:31:49,38.4583,38.3187,21.8,-.-,2.1,-.-,KEMERKOPRU-BATTALGAZI(MALATYA)"
"2023.12.19,14:25:30,36.1973,33.6965,0.0,-.-,1.4,-.-,YESILOVACIK-SILIFKE(MERSIN)"
"2023.12.19,14:20:41,38.5577,37.9645,5.0,-.-,1.7,-.-,IRIAGAC-YAZIHAN(MALATYA)"
"2023.12.19,13:08:19,36.1493,33.5473,0.0,-.-,1.3,-.-,BUYUKECELI-GULNAR(MERSIN)"
"2023.12.19,13:05:26,38.0488,36.7163,18.6,-.-,1.8,-.-,FINDIK-GOKSUN(KAHRAMANMARAS)"
"2023.12.19,12:49:12,37.1715,39.1733,12.6,-.-,1.7,-.-,IRICE-(SANLIURFA)"
"2023.12.19,12:46:09,40.5888,29.2432,0.0,-.-,1.4,-.-,KURTKOY-(YALOVA)"
"2023.12.19,12:29:39,40.6455,29.2677,0.0,-.-,0.9,-.-,YALOVA,Ýlksel"
"2023.12.19,12:19:27,37.2907,35.0797,5.0,-.-,1.4,-.-,MARASLI-KARAISALI(ADANA)"
"2023.12.19,12:15:22,39.0755,27.5243,0.0,-.-,1.2,-.-,EGNEZ-SOMA(MANISA)"
"2023.12.19,11:43:54,36.6138,36.3747,5.7,-.-,1.4,-.-,ALIBEYCAGILI-KIRIKHAN(HATAY)"
